Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787724993,30,,Aggregated,2.100000,0.000000,9500,13000,14000,15000,16000,16000,17000,17000,17000,17000,17000,266,0,9500,9885.31794030608,285.622889874503,16849.952570162714,1746.203007518797
1787724994,30,,Aggregated,2.000000,0.000000,9600,13000,14000,15000,16000,16000,17000,17000,17000,17000,17000,268,0,9500,9887.793641669481,285.622889874503,16849.952570162714,1746.0186567164178
1787724995,30,,Aggregated,2.000000,0.000000,9700,13000,14000,15000,16000,16000,17000,17000,17000,17000,17000,270,0,9600,9892.290572204662,285.622889874503,16849.952570162714,1746.085185185185
1787724996,30,,Aggregated,2.000000,0.000000,9700,13000,14000,15000,16000,16000,17000,17000,17000,17000,17000,272,0,9700,9899.599889592055,285.622889874503,16849.952570162714,1746.0220588235295
1787724997,30,,Aggregated,2.000000,0.000000,9800,13000,14000,15000,16000,16000,17000,17000,17000,17000,17000,274,0,9700,9910.696665628093,285.622889874503,16849.952570162714,1745.85401459854
1787724998,30,,Aggregated,2.000000,0.000000,9800,13000,14000,15000,16000,16000,17000,17000,17000,17000,17000,276,0,9800,9918.550375584122,285.622889874503,16849.952570162714,1746.1666666666667
1787724999,30,,Aggregated,2.000000,0.000000,9800,13000,14000,15000,16000,16000,17000,17000,17000,17000,17000,278,0,9800,9926.829731525693,285.622889874503,16849.952570162714,1745.7985611510792
1787725000,30,,Aggregated,2.000000,0.000000,9900,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,280,0,9800,9931.441454087118,285.622889874503,16849.952570162714,1745.4357142857143
1787725001,30,,Aggregated,2.000000,0.000000,9900,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,282,0,9900,9933.184722855403,285.622889874503,16849.952570162714,1745.3794326241134
1787725002,30,,Aggregated,2.000000,0.000000,10000,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,284,0,9900,9936.808400912847,285.622889874503,16849.952570162714,1745.9295774647887
1787725003,30,,Aggregated,2.000000,0.000000,9900,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,287,0,9900,9934.20675689215,285.622889874503,16849.952570162714,1745.8745644599303
1787725004,30,,Aggregated,2.000000,0.000000,9900,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,289,0,9900,9932.586012478228,285.622889874503,16849.952570162714,1745.6159169550174
1787725005,30,,Aggregated,2.000000,0.000000,9800,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,291,0,9800,9926.89842354071,285.622889874503,16849.952570162714,1745.360824742268
1787725006,30,,Aggregated,2.000000,0.000000,9800,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,293,0,9800,9921.686546486062,285.622889874503,16849.952570162714,1745.4948805460751
1787725007,30,,Aggregated,2.100000,0.000000,9800,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,295,0,9800,9919.10617417356,285.622889874503,16849.952570162714,1745.4
1787725008,30,,Aggregated,2.000000,0.000000,9800,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,297,0,9800,9920.244562144859,285.622889874503,16849.952570162714,1744.9259259259259
1787725009,30,,Aggregated,2.000000,0.000000,9800,12000,14000,15000,16000,16000,17000,17000,17000,17000,17000,299,0,9800,9918.409732940536,285.622889874503,16849.952570162714,1744.8294314381271
1787725010,30,,Aggregated,2.100000,0.000000,9700,12000,14000,15000,16000,16000,16000,17000,17000,17000,17000,302,0,9700,9908.745214097135,285.622889874503,16849.952570162714,1745.291390728477
1787725011,30,,Aggregated,2.100000,0.000000,9700,12000,14000,15000,16000,16000,16000,17000,17000,17000,17000,304,0,9700,9893.83654255423,285.622889874503,16849.952570162714,1745.421052631579
1787725012,30,,Aggregated,2.100000,0.000000,9700,12000,14000,15000,16000,16000,16000,17000,17000,17000,17000,306,0,9700,9874.59353752833,285.622889874503,16849.952570162714,1745.4052287581699
1787725013,30,,Aggregated,2.200000,0.000000,9700,12000,14000,15000,16000,16000,16000,17000,17000,17000,17000,308,0,9700,9859.846900161296,285.622889874503,16849.952570162714,1745.7305194805194
1787725014,30,,Aggregated,2.100000,0.000000,9700,12000,14000,15000,16000,16000,16000,17000,17000,17000,17000,310,0,9700,9848.129785072899,285.622889874503,16849.952570162714,1745.6322580645162
1787725015,30,,Aggregated,2.100000,0.000000,9700,12000,14000,15000,16000,16000,16000,17000,17000,17000,17000,312,0,9600,9838.524897132838,285.622889874503,16849.952570162714,1745.3589743589744
1787725016,30,,Aggregated,2.100000,0.000000,9600,12000,14000,15000,16000,16000,16000,17000,17000,17000,17000,314,0,9600,9828.841827708968,285.622889874503,16849.952570162714,1745.8566878980891
1787725017,30,,Aggregated,2.100000,0.000000,9600,12000,14000,14000,16000,16000,16000,17000,17000,17000,17000,316,0,9600,9817.93189514723,285.622889874503,16849.952570162714,1745.7120253164558
1787725018,30,,Aggregated,2.200000,0.000000,9500,12000,13000,14000,16000,16000,16000,17000,17000,17000,17000,319,0,9500,9801.57544438984,285.622889874503,16849.952570162714,1745.526645768025
1787725019,30,,Aggregated,2.200000,0.000000,9500,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,321,0,9500,9791.133938957806,285.622889874503,16849.952570162714,1745.797507788162
1787725020,30,,Aggregated,2.100000,0.000000,9500,11000,13000,14000,15000,16000,16000,17000,17000,17000,17000,323,0,9500,9787.292876351486,285.622889874503,16849.952570162714,1746.0650154798761
